식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
새우구이,구이류,145,67.5,23.41,4.44,1.85,2.82,0.03,82.0,319.0,330,233.98,0.74,0.05,0.03,0.0,0.0,0.0,180g,한식
소불고기,구이류,170,67.9,16.41,9.66,1.77,4.26,3.24,19.0,309.0,418,50.02,3.26,0.2,0.58,0.0,1.89,0.77,200g,한식
오리고기구이,구이류,293,48.8,24.06,19.7,2.55,4.89,0.0,8.0,335.0,708,132.33,4.82,0.09,0.0,0.0,0.0,0.0,200g,한식
오리불고기,구이류,145,73.4,6.75,9.05,1.8,9.05,6.29,14.0,302.0,467,31.13,2.04,0.05,1.46,0.0,2.21,1.18,250g,한식
조기구이,구이류,177,65.3,19.33,10.86,4.08,0.44,0.0,121.0,267.0,1364,91.79,3.08,0.12,0.0,0.0,0.0,0.0,180g,한식
치킨데리야끼,구이류,208,58.0,16.54,9.01,1.26,15.21,0.11,16.0,233.0,267,53.29,2.59,0.06,0.11,0.0,0.0,0.0,340g,한식
함박스테이크,구이류,174,69.0,12.1,10.73,1.0,7.19,0.06,14.0,233.0,198,46.73,3.3,0.13,0.03,0.0,0.0,0.02,200g,한식
가지전,전·적 및 부침류,123,76.8,5.48,7.28,1.58,8.88,0.84,33.0,187.0,337,98.48,1.8,0.1,0.0,0.0,0.0,0.21,200g,한식
감자전,전·적 및 부침류,133,73.5,1.72,6.54,1.49,16.79,1.81,9.0,406.0,293,0.0,0.89,0.05,0.57,0.0,0.57,0.68,200g,한식
고구마전,전·적 및 부침류,227,52.2,2.92,7.98,0.88,35.99,14.26,19.0,343.0,87,0.0,1.19,0.06,0.34,0.0,3.7,0.45,140g,한식
김치전,전·적 및 부침류,134,70.4,5.05,4.2,1.29,19.01,4.21,43.0,208.0,240,54.91,0.87,0.04,0.1,0.0,0.0,0.58,150g,한식
달걀말이,전·적 및 부침류,193,66.5,17.21,13.21,1.6,1.45,0.0,55.0,144.0,449,339.85,3.33,0.08,0.0,0.0,0.0,0.0,100g,한식
달걀부침(달걀후라이),전·적 및 부침류,208,64.4,15.73,13.78,0.97,5.15,0.03,52.0,152.0,161,327.72,3.72,0.1,0.0,0.0,0.0,0.03,60g,한식
두부부침,전·적 및 부침류,140,75.4,10.92,9.77,1.87,2.07,0.24,63.0,213.0,429,0.0,1.45,0.03,0.24,0.0,0.0,0.0,100g,한식
맛살전,전·적 및 부침류,165,64.5,7.48,6.24,2.08,19.69,1.14,172.0,46.0,559,64.18,1.21,0.06,0.0,0.0,0.0,0.0,200g,한식
메밀전,전·적 및 부침류,161,59.6,4.02,0.64,0.96,34.79,0.3,16.0,143.0,145,0.0,0.26,0.0,0.0,0.0,0.0,0.16,180g,한식
부추전,전·적 및 부침류,167,62.3,4.63,4.17,1.09,27.86,8.28,21.0,173.0,247,26.17,0.8,0.05,0.49,0.0,0.0,1.04,150g,한식
스크램블드에그,전·적 및 부침류,216,66.6,11.81,17.59,1.39,2.56,0.45,56.0,138.0,369,251.32,3.2,0.07,0.0,0.45,0.0,0.0,110g,한식
애호박전,전·적 및 부침류,122,79.1,4.35,8.62,1.2,6.73,2.32,33.0,213.0,224,75.99,1.33,0.08,0.07,0.0,0.1,0.54,150g,한식
채소전,전·적 및 부침류,145,68.3,3.57,4.5,1.06,22.59,2.06,22.0,173.0,259,19.62,0.89,0.06,0.15,0.0,0.0,0.05,100g,한식
감자볶음,볶음류,100,79.6,1.75,4.84,1.4,12.41,3.37,11.0,311.0,318,0.0,0.63,0.03,0.62,0.0,1.63,1.13,100g,한식
건새우볶음,볶음류,304,28.1,41.55,12.95,12.0,5.4,4.05,3135.0,631.0,1554,387.95,1.75,0.1,0.05,0.0,3.95,0.05,20g,한식
김치볶음,볶음류,106,81.2,1.38,7.94,2.17,7.27,4.45,53.0,316.0,521,4.66,0.87,0.08,1.4,0.14,1.16,1.5,100g,한식
낙지볶음,볶음류,91,79.9,5.77,3.77,1.97,8.6,7.91,29.0,217.0,537,44.76,0.44,0.02,1.46,0.0,2.84,2.1,200g,한식
닭발볶음,볶음류,186,62.3,13.8,9.38,2.8,11.72,6.37,81.0,258.0,974,412.79,2.2,0.1,2.14,0.0,2.04,2.2,200g,한식
닭볶음(닭갈비),볶음류,186,65.5,13.98,10.96,1.6,7.93,0.77,25.0,343.0,338,49.32,1.92,0.07,0.14,0.0,0.01,0.06,300g,한식
당근볶음,볶음류,95,83.6,0.93,6.63,1.01,7.79,4.5,26.0,278.0,216,0.0,1.1,0.01,0.79,0.0,3.0,0.7,90g,한식
돼지고기볶음(제육볶음),볶음류,195,67.0,12.15,14.19,1.96,4.73,0.38,22.0,370.0,501,45.6,4.18,0.06,0.0,0.0,0.38,0.0,250g,한식
떡볶이,볶음류,144,66.3,3.51,2.96,1.26,25.96,4.4,14.0,84.0,391,2.34,0.28,0.01,0.38,0.0,2.87,0.56,180g,한식
라볶이,볶음류,134,71.2,2.83,4.71,1.16,20.14,0.94,51.0,106.0,311,2.52,1.47,0.03,0.11,0.0,0.0,0.6,200g,한식
마늘쫑볶음,볶음류,89,78.8,3.25,2.54,2.22,13.17,5.29,43.0,319.0,562,0.0,0.37,0.01,1.71,0.0,0.59,1.83,140g,한식
마파두부,볶음류,109,79.3,7.29,6.48,1.58,5.36,2.45,29.0,115.0,352,6.79,1.04,0.03,0.31,0.0,1.66,0.33,160g,한식
